Context_ID	Communicative_Context	n_phrases
COMMC0001	kiiwikil-Mercado	488
COMMC0002	paarkee-Parque	464
COMMC0003	otoch-Casa (acciones, ir y venir)	554
COMMC0004	kool-Milpa	459
COMMC0005	solaar-Solar	454
COMMC0006	najilxook-Escuela	936
COMMC0007	bixumaankiin-Clima y transcurso del día	430
COMMC0008	kaaba-Nombre	639
COMMC0009	jaab-Edad (años)	316
COMMC0010	ujaabilakuxtal-Edad (años de vida)	264
COMMC0011	patkaaba-Apodo	508
COMMC0012	siijen-Nacimiento (lugar)	237
COMMC0013	kiinkaaba-Cumpleaños	206
COMMC0014	kaaj-Lugar y procedencia	796
COMMC0015	kajakbal-Residencia (dónde vive)	195
COMMC0016	tsokaanbeel-Estado civil (matrimonio)	58
COMMC0017	jatsmaj-Estado civil (separación)	53
COMMC0018	muulkajakbal-Convivencia (con quién vive)	88
COMMC0019	tsiik-Cortesía y saludos	57
COMMC0020	taanubin-Despedidas	123
COMMC0021	tusbeel-Encargos y peticiones	66
COMMC0022	laaktsil-Familia (parientes)	2472
COMMC0023	meyaj-Trabajo y oficios	232
COMMC0024	otoch-Casa (descripción)	509
COMMC0025	xaman-Ubicación y puntos cardinales	130
COMMC0026	kuxtalil-Costumbres culinarias cotidianas	2228
COMMC0027	tsoolil-Descripción física	270
COMMC0028	maan-Compras	119
COMMC0029	xiimbal-Viajar y desplazamientos	197
COMMC0030	alak-Mascotas y animales domésticos	304
COMMC0031	balche-Fauna local	480
